player_name,cricsheet_person_id,source_name,source_player_id,batting_style_raw,bowling_style_raw,identified_roles_raw,playing_role_raw,needs_manual_review,notes
CR Brathwaite,e342e5fb,cricketdata::player_meta,457249,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,false,cricsheet_id
CR Woakes,4c5d73db,cricketdata::player_meta,247235,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,false,cricsheet_id
CRD Fernando,342d8ade,cricketdata::player_meta,48835,Right hand Bat,Right arm Fast medium,Bowler,Bowler,false,cricsheet_id
CV Varun,5b7ab5a9,cricketdata::player_meta,1108375,Right hand Bat,Legbreak Googly,Bowler,Bowler,false,cricsheet_id
D Brevis,844e79d1,cricketdata::player_meta,1070665,Right hand Bat,Legbreak,Batting Allrounder,Batting Allrounder,false,cricsheet_id
D du Preez,d7a57f75,cricketdata::player_meta,44938,Right hand Bat,Right arm Fast medium,,,false,cricsheet_id
D Ferreira,f0af99a7,cricketdata::player_meta,698315,Right hand Bat,,Allrounder,Allrounder,false,cricsheet_id
D Govindjee,8b4c4069,cricketdata::player_meta,45356,Left hand Bat,Slow Left arm Orthodox,,,false,cricsheet_id
D Jansen,8dc152d1,cricketdata::player_meta,595954,Right hand Bat,Left arm Fast,Bowler,Bowler,false,cricsheet_id
D Kalyankrishna,94bc776b,cricketdata::player_meta,30719,Right hand Bat,Right arm Medium fast,,,false,cricsheet_id
D Padikkal,2c25d4f5,cricketdata::player_meta,1119026,Left hand Bat,Right arm Offbreak,Top order Batter,Top order Batter,false,cricsheet_id
D Pretorius,11614d87,cricketdata::player_meta,327830,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Bowling Allrounder,false,cricsheet_id
D Salunkhe,0264c10e,cricketdata::player_meta,278482,Right hand Bat,Legbreak,Bowler,Bowler,false,cricsheet_id
D Wiese,aa8d28ae,cricketdata::player_meta,221140,Right hand Bat,Right arm Medium fast,Allrounder,Allrounder,false,cricsheet_id
